ticket_id,subject,body,customer_id,channel,created_at
TCK-2001,Invoice missing volume discount agreement,Our invoice doesn't reflect the 20% volume discount from contract #CTR-33. Please apply the discount and reissue.,CUST-100,Chat,2026-07-30T00:38:42Z
TCK-2002,Critical data loss in reporting module,Historical analytics data loss detected in the reporting module. Reports from the last 7 days showing zero values.,CUST-101,Phone,2026-07-30T06:37:45Z
TCK-2003,Payment failed on automatic renewal,Our automatic renewal payment failed with error code PAY-046. Card on file is valid — please retry or send payment link.,CUST-102,Mobile App,2026-07-31T13:32:07Z
TCK-2004,Feature request: scheduled report delivery via email,We'd like to schedule automated weekly reports delivered to a distribution list every Monday at 9 AM EST.,CUST-103,Web Portal,2026-07-30T06:28:11Z
TCK-2005,How to set up cross-region failover for high availability,We need guidance on configuring cross-region failover to meet our 99.99% availability requirements.,CUST-104,Slack,2026-07-30T08:55:50Z
TCK-2006,System crash during peak traffic hours,"Platform experienced total system crash at 14:00 UTC during peak load. Auto-recovery failed, manual restart needed.",CUST-105,Mobile App,2026-07-29T05:57:39Z
TCK-2007,Refund request for duplicate annual subscription,We have two active subscriptions for the same team. Need refund on the duplicate subscription #55.,CUST-106,Phone,2026-07-30T07:25:44Z
TCK-2008,Feature request: scheduled report delivery via email,We'd like to schedule automated weekly reports delivered to a distribution list every Monday at 9 AM EST.,CUST-107,Phone,2026-07-29T15:58:10Z
TCK-2009,Feature request: Slack integration for alerts,It would be great to have native Slack integration for real-time alert notifications in our #ops channel.,CUST-108,Slack,2026-07-28T20:47:43Z
TCK-2010,Critical data loss in reporting module,Historical analytics data loss detected in the reporting module. Reports from the last 7 days showing zero values.,CUST-109,Web Portal,2026-07-28T10:14:57Z
TCK-2011,Billing error on multi-seat license invoice #7,"Invoice #7 shows billing error — 50 seats charged but we only have 28 active users. Overcharge of $1,100.",CUST-110,Web Portal,2026-07-31T15:44:30Z
TCK-2012,Need to change email for billing notifications,Please change email for billing notifications from finance@acme.com to accounting@acme.com.,CUST-111,Web Portal,2026-07-29T20:15:17Z
TCK-2013,Feature request: Slack integration for alerts,It would be great to have native Slack integration for real-time alert notifications in our #ops channel.,CUST-112,Mobile App,2026-07-29T19:38:47Z
TCK-2014,Question about multi-region data residency options,Does your platform support data residency in the EU? We need all customer data stored within EU boundaries.,CUST-113,Web Portal,2026-07-30T00:30:02Z
TCK-2015,Feature request: customizable ticket priority matrix,"We want to define our own priority scoring matrix based on customer tier, issue type, and SLA deadlines.",CUST-114,API,2026-07-29T09:04:24Z
TCK-2016,Need password reset for service account,The password reset is needed for service account svc-deploy-134@company.com used in our CI/CD pipeline.,CUST-115,Email,2026-07-29T07:31:31Z
TCK-2017,Request demo of enterprise analytics module,We're evaluating the enterprise analytics add-on for our 200-person team. Can we schedule a demo?,CUST-116,API,2026-07-30T04:41:11Z
TCK-2018,Request refund for unused API credits,We purchased 500K API credits but only used 120K before switching providers. Requesting refund for remaining credits.,CUST-117,Email,2026-07-30T07:25:04Z
TCK-2019,Main application server down in EU-West region,"Our primary application server down in EU-West-1. Health checks failing, all requests timing out. 66 users affected.",CUST-118,Slack,2026-07-29T04:16:37Z
TCK-2020,How to enable field-level encryption for sensitive data,We store PII in custom fields and need field-level encryption. Is this available on our current plan?,CUST-119,API,2026-07-29T18:53:20Z
TCK-2021,Account locked after SSO configuration change,Our IT team updated SSO settings and now my account locked out. SAML assertion errors in the login flow.,CUST-120,Web Portal,2026-07-31T15:13:07Z
TCK-2022,Notification bug sending duplicate email alerts,Users receiving 3-4 duplicate email alerts for each event. The notification bug started after Tuesday's deployment.,CUST-121,Chat,2026-07-29T04:12:54Z
TCK-2023,Refund request for duplicate annual subscription,We have two active subscriptions for the same team. Need refund on the duplicate subscription #48.,CUST-122,Slack,2026-07-31T15:00:23Z
TCK-2024,Change email associated with developer API account,Change email on my developer API account from john.doe@company.com to j.doe@company.com due to naming convention update.,CUST-123,Phone,2026-07-31T11:04:02Z
TCK-2025,Inquiry about SOC 2 Type II certification,Our procurement team requires SOC 2 Type II compliance documentation before we can sign the enterprise contract.,CUST-124,API,2026-07-31T16:21:46Z
TCK-2026,Server down after scheduled maintenance window,"Post-maintenance, the analytics server down and not recovering. Kubernetes pods in CrashLoopBackOff state.",CUST-125,Email,2026-07-30T10:01:40Z
TCK-2027,Payment failed on automatic renewal,Our automatic renewal payment failed with error code PAY-036. Card on file is valid — please retry or send payment link.,CUST-126,Phone,2026-07-28T18:50:18Z
TCK-2028,Invoice discrepancy on Q3 statement,Invoice #INV-26 shows charges for add-ons we never activated. Please review and issue corrected invoice.,CUST-127,Email,2026-07-30T15:08:37Z
TCK-2029,Invoice missing volume discount agreement,Our invoice doesn't reflect the 20% volume discount from contract #CTR-29. Please apply the discount and reissue.,CUST-128,Monitoring,2026-07-28T15:22:13Z
TCK-2030,Change email address for primary admin account,Please change email on the primary admin account from admin@old-domain.com to admin@new-domain.com.,CUST-129,Slack,2026-07-29T23:31:39Z
TCK-2031,Webhook delivery bug causing missed events,Webhook bug causing approximately 15% of order.completed events to not fire. Retry mechanism also failing.,CUST-130,Slack,2026-07-31T15:48:08Z
TCK-2032,Search filter bug returning incorrect results,Search filter bug: filtering by date range 'Last 7 days' returns results from last 30 days instead.,CUST-131,Slack,2026-07-31T03:39:54Z
TCK-2033,Change email associated with developer API account,Change email on my developer API account from john.doe@company.com to j.doe@company.com due to naming convention update.,CUST-132,Web Portal,2026-07-29T20:20:34Z
TCK-2034,Inquiry about partner program and reseller discounts,We're an MSP managing 40+ client accounts. Do you have a partner program with volume discounts?,CUST-133,Email,2026-07-29T03:12:29Z
TCK-2035,Need to change email for billing notifications,Please change email for billing notifications from finance@acme.com to accounting@acme.com.,CUST-134,Mobile App,2026-07-28T10:13:06Z
TCK-2036,Billing error on enterprise subscription renewal,"Our enterprise plan was renewed at incorrect pricing. The billing error resulted in a $4,200 overcharge on invoice #INV-15.",CUST-135,Mobile App,2026-07-30T11:23:50Z
TCK-2037,Feature request: dark mode for admin console,Our ops team works night shifts and would appreciate a dark mode option for the admin console.,CUST-136,Phone,2026-07-28T13:11:29Z
TCK-2038,Inquiry about uptime SLA for enterprise customers,What uptime SLA guarantees are included in the Enterprise plan? We need 99.95% minimum for our contract.,CUST-137,Email,2026-07-30T10:11:31Z
TCK-2039,Question about data retention and GDPR compliance,What is your data retention policy? We need to ensure compliance with GDPR Article 17 right to erasure.,CUST-138,Email,2026-07-28T18:44:42Z
TCK-2040,Credit card update rejected by payment gateway,Attempting to update our credit card details but getting 'card verification failed' error. Card works fine elsewhere.,CUST-139,Mobile App,2026-07-28T16:09:51Z
TCK-2041,How to migrate data from competitor platform,We're switching from CompetitorX. Do you offer a migration tool or service for importing historical data?,CUST-140,Chat,2026-07-29T05:02:31Z
TCK-2042,Unauthorized charge from cancelled trial account,We cancelled our trial 30 days ago but received an unauthorized charge of $199 on our account this morning.,CUST-141,Email,2026-07-31T01:37:25Z
TCK-2043,Feature request: custom role-based access controls,We need granular RBAC with custom roles beyond the standard Admin/Member/Viewer permissions.,CUST-142,Mobile App,2026-07-29T21:02:57Z
TCK-2044,Account locked due to suspicious activity alert,Received 'suspicious activity' notification and now account locked. I was just traveling and using a VPN.,CUST-143,Slack,2026-07-29T11:02:15Z
TCK-2045,Question about API rate limits for enterprise tier,We're planning to make ~50K API calls per hour. What are the rate limits on the Enterprise plan?,CUST-144,Mobile App,2026-07-28T11:58:44Z
TCK-2046,500 error on checkout flow blocking revenue,Production checkout flow returning 500 error. Zero successful transactions in the last 45 minutes. Revenue impact critical.,CUST-145,Phone,2026-07-30T14:15:25Z
TCK-2047,Search filter bug returning incorrect results,Search filter bug: filtering by date range 'Last 7 days' returns results from last 30 days instead.,CUST-146,Web Portal,2026-07-28T12:19:13Z
TCK-2048,Comparing Standard vs Enterprise plan feature differences,Can you provide a detailed comparison matrix of Standard vs Enterprise plan features for our procurement review?,CUST-147,API,2026-07-30T22:25:09Z
