ticket_id,subject,body,customer_id,channel,created_at
TCK-5001,Cannot login to admin portal,Our entire team is locked out of the system. Getting 'Invalid SSO token' errors on every attempt.,CUST-10001,Community Forum,2026-07-28T05:28:20Z
TCK-5002,Need more seats,We want to add 3 more seats to our plan. Does this prorate for the rest of the billing cycle?,CUST-10002,API / Monitoring Webhook,2026-07-29T05:53:18Z
TCK-5003,Service severely degraded,"The dashboard is loading incredibly slowly, taking up to 30 seconds for a single page. It's heavily impacting our workflow.",CUST-10003,Slack Integration,2026-07-27T08:57:43Z
TCK-5004,Missing data in export,"When I export the user list to CSV, the 'Company' column is completely blank for all 5000 records.",CUST-10004,Developer Portal,2026-07-25T05:49:51Z
TCK-5005,Feature request: Dark mode,Is there any plan to implement a dark mode? The current interface is really bright when working late.,CUST-10005,Email,2026-07-26T10:46:36Z
TCK-5006,Need more seats,We want to add 3 more seats to our plan. Does this prorate for the rest of the billing cycle?,CUST-10006,Security Desk,2026-07-28T20:37:04Z
TCK-5007,Can't delete old project,"I have an old archived project that I want to completely delete, but the delete button is greyed out. I am an admin.",CUST-10007,Community Forum,2026-07-27T05:03:54Z
TCK-5008,Typo in documentation,"Just a heads up, on the 'Getting Started' page, the word 'configuration' is spelled wrong.",CUST-10008,Phone,2026-07-27T13:35:56Z
TCK-5009,Custom font not rendering,"We uploaded our corporate font for the customer portal, but it's defaulting to Arial on mobile devices.",CUST-10009,Web Portal,2026-07-30T23:28:27Z
TCK-5010,Mobile app crashing on launch,"Since the update yesterday, the iOS app crashes immediately when I open it. I'm on iOS 16.",CUST-10010,Twitter/X DM,2026-07-26T17:20:03Z
TCK-5011,General question about pricing,"If we switch to annual billing, do we still get the startup discount?",CUST-10011,In-App Chat,2026-07-26T17:16:13Z
TCK-5012,Feedback on new layout,"I like the new sidebar navigation, but I preferred having the search bar in the top right.",CUST-10012,API / Monitoring Webhook,2026-07-25T09:50:16Z
TCK-5013,Service severely degraded,"The dashboard is loading incredibly slowly, taking up to 30 seconds for a single page. It's heavily impacting our workflow.",CUST-10013,Community Forum,2026-07-28T16:29:27Z
TCK-5014,Integration with HubSpot,We are trying to map custom fields to HubSpot but some of them aren't showing up in the dropdown list.,CUST-10014,Security Desk,2026-07-30T18:57:58Z
TCK-5015,Feature request: Dark mode,Is there any plan to implement a dark mode? The current interface is really bright when working late.,CUST-10015,Phone,2026-07-25T05:39:38Z
TCK-5016,Service severely degraded,"The dashboard is loading incredibly slowly, taking up to 30 seconds for a single page. It's heavily impacting our workflow.",CUST-10016,Security Desk,2026-07-29T10:45:36Z
TCK-5017,Custom font not rendering,"We uploaded our corporate font for the customer portal, but it's defaulting to Arial on mobile devices.",CUST-10017,Developer Portal,2026-07-29T23:25:35Z
TCK-5018,Feature request: Dark mode,Is there any plan to implement a dark mode? The current interface is really bright when working late.,CUST-10018,Developer Portal,2026-07-25T11:12:25Z
TCK-5019,Need help configuring SLA alerts,"I want to set up an alert when a ticket is unassigned for 2 hours, but the UI is confusing. How do I do this?",CUST-10019,In-App Chat,2026-07-28T17:10:38Z
TCK-5020,Service severely degraded,"The dashboard is loading incredibly slowly, taking up to 30 seconds for a single page. It's heavily impacting our workflow.",CUST-10020,Phone,2026-07-25T03:23:14Z
TCK-5021,Integration with HubSpot,We are trying to map custom fields to HubSpot but some of them aren't showing up in the dropdown list.,CUST-10021,API / Monitoring Webhook,2026-07-27T03:20:08Z
TCK-5022,Reports not generating,The end-of-month financial reports are stuck in 'Processing' state for over 6 hours now. We need these for tomorrow's board meeting.,CUST-10022,Phone,2026-07-29T01:12:11Z
TCK-5023,Reports not generating,The end-of-month financial reports are stuck in 'Processing' state for over 6 hours now. We need these for tomorrow's board meeting.,CUST-10023,API / Monitoring Webhook,2026-07-26T08:11:08Z
TCK-5024,Slack notification formatting,The messages sent to our Slack channel have broken markdown links. It makes them hard to read.,CUST-10024,Security Desk,2026-07-25T09:22:02Z
TCK-5025,Slack notification formatting,The messages sent to our Slack channel have broken markdown links. It makes them hard to read.,CUST-10025,Developer Portal,2026-07-28T09:21:14Z
TCK-5026,Dashboard graph displaying wrong timezone,"The traffic graph seems to be in UTC, but my account settings are set to PST. Can this be fixed?",CUST-10026,Phone,2026-07-28T20:41:03Z
TCK-5027,What are the upcoming features?,Is there a public roadmap I can look at? Curious about what's coming in Q3.,CUST-10027,Security Desk,2026-07-29T18:35:46Z
TCK-5028,Thanks for the great support,Just wanted to say thanks to Sarah for helping me yesterday. The issue is completely resolved now!,CUST-10028,Developer Portal,2026-07-26T19:37:21Z
TCK-5029,Do you offer non-profit discounts?,We are a registered 501(c)(3) and would love to use your software. Do you have special pricing?,CUST-10029,Phone,2026-07-30T19:04:45Z
TCK-5030,Can't delete old project,"I have an old archived project that I want to completely delete, but the delete button is greyed out. I am an admin.",CUST-10030,Web Portal,2026-07-27T01:07:56Z
TCK-5031,Unable to update payment method,"Every time I try to add our new corporate card, it throws a generic error. Our old card expires tomorrow.",CUST-10031,Community Forum,2026-07-30T10:11:31Z
TCK-5032,Dashboard graph displaying wrong timezone,"The traffic graph seems to be in UTC, but my account settings are set to PST. Can this be fixed?",CUST-10032,Email,2026-07-30T23:35:41Z
TCK-5033,Integration with HubSpot,We are trying to map custom fields to HubSpot but some of them aren't showing up in the dropdown list.,CUST-10033,Slack Integration,2026-07-29T00:10:10Z
TCK-5034,Requesting a demo for another team,Our marketing team is interested in using your tool. Can we schedule a quick 15 min demo for them next week?,CUST-10034,API / Monitoring Webhook,2026-07-26T05:59:49Z
TCK-5035,Custom domain SSL expired,The SSL certificate for our custom domain just expired and the auto-renew didn't trigger. Visitors are getting security warnings.,CUST-10035,API / Monitoring Webhook,2026-07-26T03:04:17Z
TCK-5036,Can't delete old project,"I have an old archived project that I want to completely delete, but the delete button is greyed out. I am an admin.",CUST-10036,API / Monitoring Webhook,2026-07-27T07:26:23Z
TCK-5037,Integration with HubSpot,We are trying to map custom fields to HubSpot but some of them aren't showing up in the dropdown list.,CUST-10037,Twitter/X DM,2026-07-30T19:25:07Z
